IN_X,IN_Y
0,0
1.783353291646386e-14,0.002140023949975664
3.113044754556046e-14,0.003735653705467255
5.772427680375366e-14,0.00692691321645044
1.109119353201401e-13,0.0133094322384168
2.172872523529128e-13,0.02607447028234954
4.300378864184584e-13,0.05160454637021501
8.555391545495494e-13,0.1026646985459459
1.706541690811732e-12,0.2047850028974078
3.408546763336096e-12,0.4090256116003315
5.050635522258642e-12,0.6060762626710371
6.33774432476686e-12,0.7605293189720231
7.744893789404227e-12,0.9293872547285071
8.872446894702113e-12,1.064693627364254
9.999999999999999e-12,1.2
1.011715852136992e-11,1.2
1.024150164069603e-11,1.2
1.042390793673871e-11,1.2
1.078872052882405e-11,1.2
1.151834571299473e-11,1.2
1.297759608133609e-11,1.2
1.589609681801881e-11,1.2
2.173309829138427e-11,1.2
3.028452756015274e-11,1.2
3.803984899966196e-11,1.2
4.359720650510148e-11,1.2
4.775662722251326e-11,1.2
5.194223368619863e-11,1.2
5.687796584584447e-11,1.2
6.23428017540572e-11,1.2
6.68738025849324e-11,1.2
7.125578081634547e-11,1.2
7.57794256527516e-11,1.2
8.058345323952513e-11,1.2
8.584648865823256e-11,1.2
9.176932233126105e-11,1.2
9.858718282887263e-11,1.2
1.066247657891626e-10,1.2
1.163678756474319e-10,1.2
1.285987093961019e-10,1.2
1.447698556866106e-10,1.2
1.675675540344057e-10,1.2
2.038167247182477e-10,1.2
2.763150660859317e-10,1.2
4.213117488212996e-10,1.2
5.713117488212996e-10,1.2
7.213117488212996e-10,1.2
8.713117488212996e-10,1.2
1.0213117488213e-09,1.2
1.1713117488213e-09,1.2
1.3213117488213e-09,1.2
1.4713117488213e-09,1.2
1.6213117488213e-09,1.2
1.7713117488213e-09,1.2
1.9213117488213e-09,1.2
2.0713117488213e-09,1.2
2.221311748821301e-09,1.2
2.371311748821301e-09,1.2
2.5e-09,1.2
2.50125e-09,1.049999999999979
2.502276241143102e-09,0.9268510628277724
2.504328723429305e-09,0.6805531884833598
2.505998464255465e-09,0.4801842893442081
2.507551935810457e-09,0.2937677027451895
2.508775967905229e-09,0.1468838513725843
2.51e-09,0
2.510122960751613e-09,0
2.510252758456415e-09,0
2.510444650919579e-09,0
2.510828435845908e-09,0
2.511596005698566e-09,0
2.513131145403882e-09,0
2.516201424814514e-09,0
2.522341983635778e-09,0
2.534623101278305e-09,0
2.546423374571447e-09,0
2.55570863538643e-09,0
2.563602456086371e-09,0
2.571776723195472e-09,0
2.581153274179245e-09,0
2.58962440387887e-09,0
2.596927490485923e-09,0
2.604253019906244e-09,0
2.611906007252604e-09,0
2.62017253943313e-09,0
2.629247286446211e-09,0
2.639116940917043e-09,0
2.650002445726657e-09,0
2.662205335403338e-09,0
2.676144516440896e-09,0
2.692434316849771e-09,0
2.706780365205855e-09,0
2.729932158983288e-09,0
2.756693997237075e-09,0
2.793818430049242e-09,0
2.853123225864762e-09,0
2.952876368865367e-09,0
3.102876368865367e-09,0
3.252876368865367e-09,0
3.402876368865367e-09,0
3.552876368865367e-09,0
3.702876368865367e-09,0
3.852876368865367e-09,0
4.002876368865367e-09,0
4.152876368865366e-09,0
4.302876368865366e-09,0
4.452876368865366e-09,0
4.602876368865365e-09,0
4.752876368865365e-09,0
4.876438184432683e-09,0
5e-09,0
5.00125e-09,0.1499999999999716
5.002276241143101e-09,0.2731489371721282
5.004328723429304e-09,0.5194468115164417
5.005779374462405e-09,0.6935249354886177
5.00710419834335e-09,0.8525038012019712
5.008555687006913e-09,1.026682440829507
5.01e-09,1.199999999999971
5.010129824236257e-09,1.2
5.010269364567046e-09,1.2
5.010482384253208e-09,1.2
5.010908423625533e-09,1.2
5.011760502370183e-09,1.2
5.013464659859483e-09,1.2
5.016872974838082e-09,1.2
5.02368960479528e-09,1.2
5.032183525293869e-09,1.2
5.037247505072587e-09,1.2
5.042529918736932e-09,1.2
5.046689715570395e-09,1.2
5.050721513221702e-09,1.2
5.05543199924914e-09,1.2
5.061300971827101e-09,1.2
5.065914780370486e-09,1.2
5.070263776156667e-09,1.2
5.074741280254926e-09,1.2
5.079466920679085e-09,1.2
5.084616262966273e-09,1.2
5.09038827060326e-09,1.2
5.097003286451952e-09,1.2
5.10476269721454e-09,1.2
5.11411038466502e-09,1.2
5.125748304734831e-09,1.2
5.140967989714185e-09,1.2
5.162055134810876e-09,1.2
5.194627288302908e-09,1.2
5.256077128308871e-09,1.2
5.378976808320796e-09,1.2
5.528976808320795e-09,1.2
5.678976808320795e-09,1.2
5.828976808320795e-09,1.2
5.978976808320794e-09,1.2
6.128976808320794e-09,1.2
6.278976808320794e-09,1.2
6.428976808320793e-09,1.2
6.578976808320793e-09,1.2
6.728976808320793e-09,1.2
6.878976808320793e-09,1.2
7.028976808320792e-09,1.2
7.178976808320792e-09,1.2
7.328976808320792e-09,1.2
7.414488404160395e-09,1.2
7.499999999999999e-09,1.2
7.501249999999999e-09,1.050000000000128
7.5022762411431e-09,0.9268510628279709
7.504328723429303e-09,0.6805531884836575
7.50599846576732e-09,0.4801841079216621
7.507551937120709e-09,0.2937675455149468
7.508775968560353e-09,0.1468837727576366
7.509999999999999e-09,1.281197370417431e-13
7.510122960718707e-09,0
7.510252758389326e-09,0
7.510444650788673e-09,0
7.510828435587366e-09,0
7.511596005184753e-09,0
7.513131144379527e-09,0
7.516201422769073e-09,0
7.522341979548167e-09,0
7.534623093106354e-09,0
7.54642336037674e-09,0
7.555708616833487e-09,0
7.563602436159184e-09,0
7.571776705421075e-09,0
7.581153238791749e-09,0
7.589624364421142e-09,0
7.596927451385562e-09,0
7.60425298065846e-09,0
7.611905968303602e-09,0
7.620172500382227e-09,0
7.629247240258096e-09,0
7.639116884299681e-09,0
7.650002375308003e-09,0
7.662205247078328e-09,0
7.676144404939221e-09,0
7.692434174291375e-09,0
7.706780179528228e-09,0
