VEX_PLUS_X,VEX_PLUS_Y
0,-5.376024540300206e-09
1.783353291646386e-14,3.116115562462617e-05
3.113044754556046e-14,3.106480326674983e-05
5.772427680375366e-14,3.111347378126957e-05
1.109119353201401e-13,3.121038946674403e-05
2.172872523529128e-13,3.140001538879501e-05
4.300378864184584e-13,3.176221094849223e-05
8.555391545495494e-13,3.241625293027068e-05
1.706541690811732e-12,3.341295332324334e-05
3.408546763336096e-12,3.306457736311824e-05
5.050635522258642e-12,2.825611391941587e-05
6.33774432476686e-12,2.276079470144903e-05
7.744893789404227e-12,1.645422657084917e-05
8.872446894702113e-12,1.545943558553109e-05
9.999999999999999e-12,1.385651328501869e-05
1.011715852136992e-11,-7.126586651606821e-06
1.024150164069603e-11,-7.085814665355602e-06
1.042390793673871e-11,-7.043400503698192e-06
1.078872052882405e-11,-6.961046334525327e-06
1.151834571299473e-11,-6.804246460016804e-06
1.297759608133609e-11,-6.517381273527428e-06
1.589609681801881e-11,-6.025039762208078e-06
2.173309829138427e-11,-5.253160254760555e-06
3.028452756015274e-11,-4.420660547148964e-06
3.803984899966196e-11,-3.774445062124208e-06
4.359720650510148e-11,-3.171134649556103e-06
4.775662722251326e-11,-2.620366077994493e-06
5.194223368619863e-11,-2.059852493890533e-06
5.687796584584447e-11,-1.478353164026545e-06
6.23428017540572e-11,-9.755889230487569e-07
6.68738025849324e-11,-6.711953247918492e-07
7.125578081634547e-11,-4.581726559601308e-07
7.57794256527516e-11,-3.042105850446874e-07
8.058345323952513e-11,-1.944688836190709e-07
8.584648865823256e-11,-1.176531742237266e-07
9.176932233126105e-11,-6.587296809569148e-08
9.858718282887263e-11,-3.31616145372464e-08
1.066247657891626e-10,-1.446470065609053e-08
1.163678756474319e-10,-5.462980774214111e-09
1.285987093961019e-10,-2.263104847831473e-09
1.447698556866106e-10,-2.15023915351485e-09
1.675675540344057e-10,-2.95953948708954e-09
2.038167247182477e-10,-3.568076915002334e-09
2.763150660859317e-10,-3.713782849828223e-09
4.213117488212996e-10,-3.647258949237569e-09
5.713117488212996e-10,-3.627473341729965e-09
7.213117488212996e-10,-3.626277477613703e-09
8.713117488212996e-10,-3.626808921829234e-09
1.0213117488213e-09,-3.626913757825183e-09
1.1713117488213e-09,-3.626910084145233e-09
1.3213117488213e-09,-3.626906166956439e-09
1.4713117488213e-09,-3.62690577386121e-09
1.6213117488213e-09,-3.626905850704085e-09
1.7713117488213e-09,-3.626905873659298e-09
1.9213117488213e-09,-3.626905874150987e-09
2.0713117488213e-09,-3.626905873461714e-09
2.221311748821301e-09,-3.626905873355872e-09
2.371311748821301e-09,-3.626905873364233e-09
2.5e-09,-3.626905873369898e-09
2.50125e-09,-2.28102465163419e-05
2.502276241143102e-09,-3.076152048431552e-05
2.504328723429305e-09,-6.877245090770367e-05
2.505998464255465e-09,-0.0001146739519943133
2.507551935810457e-09,-0.0001635829983282419
2.508775967905229e-09,-0.0002044379662265462
2.51e-09,-0.0002457478977284174
2.510122960751613e-09,-0.0002054339292963057
2.510252758456415e-09,-0.0002052579006212084
2.510444650919579e-09,-0.0002049985982830539
2.510828435845908e-09,-0.0002044796775291964
2.511596005698566e-09,-0.0002034403763589506
2.513131145403882e-09,-0.0002013554939612396
2.516201424814514e-09,-0.0001971567044531236
2.522341983635778e-09,-0.0001886087474257015
2.534623101278305e-09,-0.0001705511560063472
2.546423374571447e-09,-0.0001509411495023509
2.55570863538643e-09,-0.0001324322043038242
2.563602456086371e-09,-0.0001136321640419702
2.571776723195472e-09,-9.259216181739557e-05
2.581153274179245e-09,-6.94801340404117e-05
2.58962440387887e-09,-5.17848579299667e-05
2.596927490485923e-09,-3.958254502536189e-05
2.604253019906244e-09,-2.985620289010458e-05
2.611906007252604e-09,-2.198708836912117e-05
2.62017253943313e-09,-1.562906691364415e-05
2.629247286446211e-09,-1.062218487918728e-05
2.639116940917043e-09,-6.892881798358229e-06
2.650002445726657e-09,-4.214903804208009e-06
2.662205335403338e-09,-2.377325599011495e-06
2.676144516440896e-09,-1.189994053058446e-06
2.692434316849771e-09,-4.886864446093484e-07
2.706780365205855e-09,-2.071647158185448e-07
2.729932158983288e-09,-2.35236127030236e-08
2.756693997237075e-09,2.689032804955944e-08
2.793818430049242e-09,2.375947705252126e-08
2.853123225864762e-09,5.312195356815389e-09
2.952876368865367e-09,-5.730827625285301e-09
3.102876368865367e-09,-6.70658327531656e-09
3.252876368865367e-09,-5.693641179290954e-09
3.402876368865367e-09,-5.372281176186609e-09
3.552876368865367e-09,-5.354863073236903e-09
3.702876368865367e-09,-5.370950977446531e-09
3.852876368865367e-09,-5.376177708767728e-09
4.002876368865367e-09,-5.376485741303673e-09
4.152876368865366e-09,-5.376230405833832e-09
4.302876368865366e-09,-5.376145432042193e-09
4.452876368865366e-09,-5.376140026971602e-09
4.602876368865365e-09,-5.376144076539917e-09
4.752876368865365e-09,-5.376145457437746e-09
4.876438184432683e-09,-5.376145540299289e-09
5e-09,-5.376145487869796e-09
5.00125e-09,3.295232475428098e-05
5.002276241143101e-09,3.373258934990371e-05
5.004328723429304e-09,3.073907937974061e-05
5.005779374462405e-09,2.52626002798649e-05
5.00710419834335e-09,1.881562095013939e-05
5.008555687006913e-09,1.564182118824834e-05
5.01e-09,1.372544725774526e-05
5.010129824236257e-09,-7.119839445512912e-06
5.010269364567046e-09,-7.074461097374638e-06
5.010482384253208e-09,-7.025227058729005e-06
5.010908423625533e-09,-6.930075201621649e-06
5.011760502370183e-09,-6.750149880120632e-06
5.013464659859483e-09,-6.424774109855827e-06
5.016872974838082e-09,-5.876340471274044e-06
5.02368960479528e-09,-5.034228113137206e-06
5.032183525293869e-09,-4.263457794088955e-06
5.037247505072587e-09,-3.871216172314896e-06
5.042529918736932e-09,-3.304744256580944e-06
5.046689715570395e-09,-2.75585064329989e-06
5.050721513221702e-09,-2.207562374090015e-06
5.05543199924914e-09,-1.626141908959701e-06
5.061300971827101e-09,-1.049473462262542e-06
5.065914780370486e-09,-7.209229649724862e-07
5.070263776156667e-09,-4.952527929370828e-07
5.074741280254926e-09,-3.310765506647172e-07
5.079466920679085e-09,-2.136979536688242e-07
5.084616262966273e-09,-1.31032097178186e-07
5.09038827060326e-09,-7.468695170110015e-08
5.097003286451952e-09,-3.852443105943513e-08
5.10476269721454e-09,-1.734884512272576e-08
5.11411038466502e-09,-6.723745177751346e-09
5.125748304734831e-09,-2.565725705380064e-09
5.140967989714185e-09,-2.04476064615119e-09
5.162055134810876e-09,-2.789364515222282e-09
5.194627288302908e-09,-3.484364901924999e-09
5.256077128308871e-09,-3.713196863855522e-09
5.378976808320796e-09,-3.662098017275061e-09
5.528976808320795e-09,-3.628256789495341e-09
5.678976808320795e-09,-3.625923970794095e-09
5.828976808320795e-09,-3.62673886041626e-09
5.978976808320794e-09,-3.626924791825893e-09
6.128976808320794e-09,-3.626922425816296e-09
6.278976808320794e-09,-3.626915929446722e-09
6.428976808320793e-09,-3.6269151441628e-09
6.578976808320793e-09,-3.626915255715434e-09
6.728976808320793e-09,-3.626915296659483e-09
6.878976808320793e-09,-3.626915298395176e-09
7.028976808320792e-09,-3.62691529726464e-09
7.178976808320792e-09,-3.626915297056869e-09
7.328976808320792e-09,-3.626915297067129e-09
7.414488404160395e-09,-3.626915297073666e-09
7.499999999999999e-09,-3.626915297076959e-09
7.501249999999999e-09,-2.281021117357084e-05
7.5022762411431e-09,-3.076152176767713e-05
7.504328723429303e-09,-6.877247251385203e-05
7.50599846576732e-09,-0.0001146740406345527
7.507551937120709e-09,-0.0001635831000852558
7.508775968560353e-09,-0.000204438058381904
7.509999999999999e-09,-0.0002457479761376344
7.510122960718707e-09,-0.0002054340083635852
7.510252758389326e-09,-0.0002052579797566594
7.510444650788673e-09,-0.000204998677538399
7.510828435587366e-09,-0.0002044797570274671
7.511596005184753e-09,-0.0002034404563540448
7.513131144379527e-09,-0.0002013555749882965
7.516201422769073e-09,-0.0001971567876974388
7.522341979548167e-09,-0.0001886088358336966
7.534623093106354e-09,-0.0001705512591423374
7.54642336037674e-09,-0.0001509412812751124
7.555708616833487e-09,-0.0001324323739572572
7.563602436159184e-09,-0.0001136323610913606
7.571776705421075e-09,-9.259235710843757e-05
7.581153238791749e-09,-6.948034935290654e-05
7.589624364421142e-09,-5.17850406178646e-05
7.596927451385562e-09,-3.958269127435085e-05
7.60425298065846e-09,-2.985631805959767e-05
7.611905968303602e-09,-2.19871757687817e-05
7.620172500382227e-09,-1.562913077872836e-05
7.629247240258096e-09,-1.062223263235443e-05
7.639116884299681e-09,-6.892916806452338e-06
7.650002375308003e-09,-4.214928576292969e-06
7.662205247078328e-09,-2.377342245854466e-06
7.676144404939221e-09,-1.190004420978289e-06
7.692434174291375e-09,-4.886922175607856e-07
7.706780179528228e-09,-2.071682604328044e-07
7.729931910651375e-09,-2.352494921391599e-08
7.756693627703254e-09,2.689002792076705e-08
7.793817818393699e-09,2.375964950017602e-08
7.853122256380651e-09,5.312415170459277e-09
7.952874541892532e-09,-5.730749322813325e-09
8.102874541892532e-09,-6.706598493897466e-09
8.252874541892532e-09,-5.693650080971055e-09
8.402874541892531e-09,-5.372282480968999e-09
8.552874541892531e-09,-5.354862839184825e-09
8.702874541892531e-09,-5.370950835736758e-09
8.85287454189253e-09,-5.376177689122943e-09
9.00287454189253e-09,-5.376485746869423e-09
9.15287454189253e-09,-5.376230410120051e-09
9.302874541892529e-09,-5.376145434366462e-09
9.452874541892529e-09,-5.37614002890458e-09
9.602874541892529e-09,-5.376144078475983e-09
9.752874541892528e-09,-5.376145459379366e-09
9.876437270946264e-09,-5.376145542293526e-09
1e-08,-5.376145489819578e-09
1.000125e-08,3.295232476567029e-05
1.00022762411431e-08,3.373258935466216e-05
1.00043287234293e-08,3.073907938309861e-05
1.000577937446239e-08,2.526260028081923e-05
1.000710419834334e-08,1.881562095079352e-05
1.000855568700692e-08,1.564182118569463e-05
1.001e-08,1.372544725823441e-05
1.001012982423626e-08,-7.119839445659156e-06
1.001026936456704e-08,-7.074461097517695e-06
1.001048238425321e-08,-7.025227058866658e-06
1.001090842362553e-08,-6.930075201755935e-06
1.001176050237018e-08,-6.750149880243356e-06
1.001346465985948e-08,-6.424774109960714e-06
1.001687297483808e-08,-5.876340471356439e-06
1.002368960479528e-08,-5.034228113194141e-06
1.003218352529387e-08,-4.263457794137684e-06
1.003724750507261e-08,-3.871216172369048e-06
1.004252991873698e-08,-3.304744256651385e-06
1.004668971557046e-08,-2.755850643375803e-06
1.005072151322174e-08,-2.207562374166311e-06
1.0055431999249e-08,-1.626141909044446e-06
1.006130097182702e-08,-1.049473462318984e-06
1.006591478037043e-08,-7.209229650127744e-07
1.007026377615661e-08,-4.952527929667706e-07
1.007474128025487e-08,-3.310765506850699e-07
1.007946692067898e-08,-2.136979536834691e-07
1.00846162629661e-08,-1.310320971881109e-07
1.009038827060299e-08,-7.468695170733119e-08
1.009700328645154e-08,-3.852443106335101e-08
1.010476269721393e-08,-1.734884512495996e-08
