VSCHEM_PLUS_X,VSCHEM_PLUS_Y
0,-6.862855221687969e-09
1.783353291646386e-14,2.540888359795105e-05
3.113044754556046e-14,2.528406471334884e-05
5.772427680375366e-14,2.532201776648364e-05
1.109119353201401e-13,2.539753807581959e-05
2.172872523529128e-13,2.554540221553951e-05
4.300378864184584e-13,2.582823820610821e-05
8.555391545495494e-13,2.634051274125707e-05
1.706541690811732e-12,2.711945509721297e-05
3.408546763336096e-12,2.642986194603983e-05
5.050635522258642e-12,2.188208382241059e-05
6.33774432476686e-12,1.630750107230439e-05
7.744893789404227e-12,1.395711395107855e-05
8.872446894702113e-12,1.089790454580862e-05
9.999999999999999e-12,8.909990634786617e-06
1.011715852136992e-11,-6.365189720951196e-06
1.024150164069603e-11,-6.324690202806505e-06
1.042390793673871e-11,-6.28246984849778e-06
1.078872052882405e-11,-6.200363796421394e-06
1.151834571299473e-11,-6.043961886789387e-06
1.297759608133609e-11,-5.758127223191589e-06
1.589609681801881e-11,-5.269864989803133e-06
2.173309829138427e-11,-4.512247301136977e-06
3.028452756015274e-11,-3.705581603501859e-06
3.803984899966196e-11,-3.050535452118406e-06
4.359720650510148e-11,-2.432657137966889e-06
4.775662722251326e-11,-1.931223546101396e-06
5.194223368619863e-11,-1.462080717415123e-06
5.687796584584447e-11,-1.006176962249531e-06
6.23428017540572e-11,-6.343679824642648e-07
6.68738025849324e-11,-4.214070366129188e-07
7.125578081634547e-11,-2.795973661430328e-07
7.57794256527516e-11,-1.814108886091232e-07
8.058345323952513e-11,-1.141490399730553e-07
8.584648865823256e-11,-6.884701653474541e-08
9.176932233126105e-11,-3.950334751496688e-08
9.858718282887263e-11,-2.177757039772214e-08
1.066247657891626e-10,-1.225818796366641e-08
1.163678756474319e-10,-7.912703775642867e-09
1.285987093961019e-10,-6.724914672135346e-09
1.447698556866106e-10,-6.912927675578558e-09
1.675675540344057e-10,-7.402628626656315e-09
2.038167247182477e-10,-7.693636729856533e-09
2.763150660859317e-10,-7.737252768881098e-09
4.213117488212996e-10,-7.699980470525341e-09
5.713117488212996e-10,-7.69079108384174e-09
7.213117488212996e-10,-7.690864463015384e-09
8.713117488212996e-10,-7.691167136829326e-09
1.0213117488213e-09,-7.691203437504789e-09
1.1713117488213e-09,-7.691198411366252e-09
1.3213117488213e-09,-7.691196611033377e-09
1.4713117488213e-09,-7.691196541606183e-09
1.6213117488213e-09,-7.691196590203896e-09
1.7713117488213e-09,-7.691196598625284e-09
